.avi; video/avi
.flv; video/x-flv
.wav; audio/wav
.txt; text/text
.jpg; image/jpeg
.png; image/png
.js;  text/javascript
.swf; application/x-shockwave-flash
.css; text/css
.htm; text/html
.html; text/html
.gif; image/gif
.xml; text/xml
.m4a; audio/m4a
.mpv; video/mvp
.mov; video/quicktime
.movie; video/x-sgi-movie
.mp2; audio/mpeg
.mp3; audio/mpeg
.mp4; video/mp4
.mpe; video/mpeg
.mpeg; video/mpeg
.mpg; video/mpeg
.mpga; audio/mpeg
.ogg; application/ogg
.ico; image/icon
.webm; video/webm
.mjpeg; video/mjpeg
.mjpg; video/mjpeg
.json; application/json
.cgi; text/javascript
